2021.4.5 20:06:55:523   leftController:(0.40, 1.08, 0.31)  rightController:(-0.18, 1.03, 0.19)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.27, 0.24, -0.09)  headset:(0.12, 1.59, -0.04)
2021.4.5 20:06:55:532   leftController:(0.40, 1.09, 0.32)  rightController:(-0.18, 1.04, 0.19)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.27, 0.24, -0.09)  headset:(0.12, 1.59, -0.04)
2021.4.5 20:06:55:540   leftController:(0.40, 1.09, 0.32)  rightController:(-0.18, 1.04, 0.19)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.27, 0.24, -0.09)  headset:(0.12, 1.59, -0.04)
2021.4.5 20:06:55:550   leftController:(0.40, 1.09, 0.32)  rightController:(-0.18, 1.04, 0.20)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.27, 0.24, -0.09)  headset:(0.12, 1.59, -0.04)
2021.4.5 20:06:55:563   leftController:(0.40, 1.09, 0.32)  rightController:(-0.18, 1.04, 0.20)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.27, 0.24, -0.09)  headset:(0.12, 1.59, -0.04)
2021.4.5 20:06:55:572   leftController:(0.40, 1.09, 0.33)  rightController:(-0.18, 1.04, 0.20)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.27, 0.24, -0.09)  headset:(0.12, 1.59, -0.04)
2021.4.5 20:06:55:586   leftController:(0.40, 1.09, 0.33)  rightController:(-0.18, 1.04, 0.21)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.27, 0.24, -0.09)  headset:(0.12, 1.59, -0.04)
2021.4.5 20:06:55:600   leftController:(0.40, 1.10, 0.34)  rightController:(-0.18, 1.05, 0.21)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.27, 0.24, -0.09)  headset:(0.12, 1.59, -0.04)
2021.4.5 20:06:55:612   leftController:(0.40, 1.10, 0.34)  rightController:(-0.18, 1.05, 0.22)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.27, 0.24, -0.09)  headset:(0.12, 1.59, -0.04)
2021.4.5 20:06:55:624   leftController:(0.40, 1.10, 0.34)  rightController:(-0.18, 1.05, 0.22)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.27, 0.24, -0.09)  headset:(0.12, 1.59, -0.04)
2021.4.5 20:06:55:633   leftController:(0.40, 1.10, 0.34)  rightController:(-0.18, 1.05, 0.23)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.27, 0.24, -0.09)  headset:(0.12, 1.59, -0.04)
2021.4.5 20:06:55:641   leftController:(0.40, 1.10, 0.35)  rightController:(-0.18, 1.05, 0.23)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.27, 0.24, -0.09)  headset:(0.12, 1.59, -0.04)
2021.4.5 20:06:55:651   leftController:(0.40, 1.11, 0.35)  rightController:(-0.18, 1.06, 0.23)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.27, 0.24, -0.09)  headset:(0.12, 1.59, -0.04)
2021.4.5 20:06:55:662   leftController:(0.39, 1.11, 0.35)  rightController:(-0.18, 1.06, 0.24)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.27, 0.24, -0.09)  headset:(0.12, 1.59, -0.04)
2021.4.5 20:06:55:674   leftController:(0.39, 1.11, 0.35)  rightController:(-0.18, 1.06, 0.24)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.27, 0.24, -0.09)  headset:(0.12, 1.59, -0.05)
2021.4.5 20:06:55:690   leftController:(0.39, 1.11, 0.36)  rightController:(-0.18, 1.06, 0.25)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.27, 0.24, -0.09)  headset:(0.12, 1.59, -0.05)
2021.4.5 20:06:55:704   leftController:(0.39, 1.11, 0.36)  rightController:(-0.18, 1.06, 0.25)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.27, 0.24, -0.09)  headset:(0.12, 1.59, -0.05)
2021.4.5 20:06:55:713   leftController:(0.39, 1.11, 0.36)  rightController:(-0.18, 1.06, 0.25)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.27, 0.24, -0.09)  headset:(0.12, 1.59, -0.05)
